Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,11 Ago 2319:00Finalizado,0,13,6,0,0,5,0
2,19 Ago 2319:30Finalizado,1,5,14,0,1,13,1
3,25 Ago 2321:30Finalizado,1,4,15,0,1,14,4
4,02 Sep 2318:30Finalizado,0,6,13,0,1,12,7
5,08 Sep 2321:00Finalizado,-3,7,12,0,0,11,8
6,16 Sep 2318:30Finalizado,2,5,14,0,1,13,7
7,23 Sep 2316:15Finalizado,2,5,14,0,1,13,7
8,30 Sep 2318:30Finalizado,0,4,15,0,1,14,7
9,03 Oct 2319:00Finalizado,0,6,13,0,1,12,7
10,06 Oct 2321:00Finalizado,2,4,15,0,1,14,8
