Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
13 Aug,-0.10346315789473683,15.789473684210526,42.10526315789473,42.10526315789473,19,0,12,7,0,0,3,0,0
21 Aug,-0.14830000000000002,11.11111111111111,51.85185185185185,37.03703703703704,27,-2,19,0,1,0,-4,1,0
28 Aug,0.03668571428571429,21.428571428571427,57.14285714285714,21.428571428571427,14,0,20,-1,1,0,-5,1,0
03 Sep,-0.05628695652173913,13.043478260869565,52.17391304347826,34.78260869565217,23,0,19,0,1,0,-4,2,0
09 Sep,-0.11024827586206895,6.896551724137931,58.620689655172406,34.48275862068966,29,-2,21,-2,1,0,-6,3,0
16 Sep,-0.06333947368421051,10.526315789473683,63.1578947368421,26.31578947368421,38,0,20,-1,1,0,-5,2,0
23 Sep,-0.09152500000000001,5.0,60.0,35.0,20,2,18,1,0,0,-3,3,0
01 Oct,-0.18736285714285714,5.714285714285714,51.42857142857142,42.857142857142854,35,-1,19,0,1,0,-4,5,0
04 Oct,-0.15558,5.0,53.333333333333336,41.66666666666667,60,-1,20,-1,1,0,-5,4,0
07 Oct,-0.08573846153846154,11.538461538461538,53.84615384615385,34.61538461538461,26,-1,21,-2,1,0,-6,4,0
